entloss,EpLenMean,EpRewMean,EpisodesSoFar,meankl,optimgain,EpThisIter,entropy,ev_tdlam_before,TimestepsSoFar,surrgain,TimeElapsed
,912.325,-20.175,115,0.00127292,0.0147855,1,1.57591,0.00055468082428,106979,0.0147855,223.06600737571716
,912.325,-20.175,115,0.00117923,0.0144199,,1.58725,0.00090891122818,106979,0.0144199,224.14387345314026
,908.45,-20.2,116,0.00105132,0.0143253,1,1.55966,-0.000362992286682,107954,0.0143253,225.21303153038025
,908.45,-20.2,116,0.00117724,0.0109143,,1.5884,0.00138229131699,107954,0.0109143,226.2744278907776
,901.775,-20.225,117,0.00107381,0.0143492,1,1.55378,0.00166934728622,108732,0.0143492,227.33520674705505
,901.775,-20.225,117,0.00106029,0.0135617,,1.53565,-0.000491857528687,108732,0.0135617,228.38430500030518
,900.75,-20.275,118,0.0010274,0.014674,1,1.5461,-0.00533664226532,109673,0.014674,229.47123908996582
,900.75,-20.275,118,0.00111519,0.0177035,,1.59562,-0.000382542610168,109673,0.0177035,230.52978014945984
,910.0,-20.175,119,0.00103206,0.0145855,1,1.55468,-0.00187730789185,110923,0.0145855,231.59930968284607
,910.0,-20.175,119,0.0010802,0.0127788,,1.59739,0.00158125162125,110923,0.0127788,232.66599106788635
,911.725,-20.15,120,0.00112182,0.0142684,1,1.56573,-0.00662279129028,111871,0.0142684,233.7521710395813
,911.725,-20.15,120,0.00134979,0.0140589,,1.58634,0.00141698122025,111871,0.0140589,234.82156014442444
,910.675,-20.175,121,0.00106581,0.0159529,1,1.57021,-0.00716042518616,112690,0.0159529,235.8961112499237
,910.675,-20.175,121,0.00103316,0.0129262,,1.58221,0.0048850774765,112690,0.0129262,236.96274662017822
,908.5,-20.175,122,0.0011739,0.0172331,1,1.52886,0.00124156475067,113681,0.0172331,238.03202748298645
,908.9,-20.175,123,0.00115146,0.0136932,1,1.55071,0.00082665681839,114518,0.0136932,239.0957019329071
,908.9,-20.175,123,0.00112305,0.0123806,,1.58194,-0.00118017196655,114518,0.0123806,240.15404152870178
,907.775,-20.2,124,0.00114229,0.0148143,1,1.54997,-0.000843644142151,115308,0.0148143,241.22316002845764
,907.675,-20.2,125,0.00110761,0.0174412,1,1.54361,0.00224334001541,116124,0.0174412,242.29715847969055
,907.675,-20.2,125,0.00104649,0.0153725,,1.50809,-0.00181663036346,116124,0.0153725,243.36635875701904
,910.075,-20.2,126,0.00108724,0.0149741,1,1.55356,0.000903606414795,117067,0.0149741,244.45577549934387
,910.075,-20.2,126,0.00130393,0.0147282,,1.54007,0.00107926130295,117067,0.0147282,245.50875186920166
,908.775,-20.25,127,0.0011467,0.0139537,1,1.49844,-0.000447392463684,117948,0.0139537,246.58887481689453
,909.25,-20.25,128,0.000494587,0.00849929,1,1.5774,0.00350898504257,118783,0.00849929,247.66316843032837
,909.25,-20.25,128,0.00118117,0.015031,,1.51634,-0.00243890285492,118783,0.015031,248.73446607589722
,907.525,-20.225,129,0.00107293,0.0148681,1,1.53647,-0.000152945518494,119806,0.0148681,249.81946921348572
,907.525,-20.225,129,0.000972004,0.0153835,,1.55784,-0.0026707649231,119806,0.0153835,250.8717188835144
,908.05,-20.225,130,0.00122546,0.0152744,1,1.5535,0.000825464725494,120819,0.0152744,251.94885516166687
